00001740-a	ind:def	memiliki sarana yang diperlukan
00001837-r	ind:def	digunakan setelah tanggal Kristus lahir
00002098-a	ind:def	keterampilan atau tahu-bagaimana
00002137-n	ind:def	konsep umum yang dibentuk oleh mengekstraksi fitur-fitur umum
00002296-r	ind:def	disukai oleh beberapa penulis yang bukan Kristen
00002527-a	ind:def	menghadap ke sumbu dari suatu organ atau organisme
00002730-a	ind:def	menghadap atau di sisi menuju puncak
00002950-r	ind:def	tepat pada saat ini
00003700-a	ind:def	terbuka penuh dengan kekuatan
00003939-a	ind:def	berhubungan dengan proses lewat kehidupan atau berhenti
00003993-n	ind:def	keseluruhan (hal atau orang) dari jenis yang sama
00004171-a	ind:def	berada di titik kematian
00004296-a	ind:def	terjadi pada saat kematian
00004475-n	ind:def	makhluk hidup yang dapat mengembangkan kemampuan bertindak independen
00004723-a	ind:def	ringkas untuk setengah panjang aslinya
00004817-a	ind:def	(British informal) diringkas atau singkat
00005787-n	ind:def	organisme (tumbuhan dan hewan) yang hidup di bawah laut
00005839-a	ind:def	(Informal) mutlak
00006024-n	ind:def	organisme yang tergantung pada zat organik kompleks untuk gizi
00006150-n	ind:def	organisme (tumbuhan atau hewan) yang diperoleh dari yang lebih muda
00006885-a	ind:def	gas, cahaya, atau cairan
00007096-a	ind:def	seperti dari udara
00007331-a	ind:def	memiliki kemampuan untuk menyerap dampak energi
00007516-a	ind:def	seperti spons yang mampu menyerap cairan
00007697-a	ind:def	mampu menyerap kelembapan dalam jumlah besar
00007846-n	ind:def	seseorang yang dipandang tinggi
00008206-a	ind:def	memiliki kapasitas atau kecenderungan untuk menyerap
00008443-a	ind:def	memiliki kapasitas untuk menyerap bahan kimia
00008734-a	ind:def	mampu diserap melalui pori-pori permukaan
00008877-a	ind:def	mampu teradsorpsi atau terakumulasi pada permukaan yang padat
00009046-a	ind:def	bebas dari minuman keras
00010385-a	ind:def	gemar makan atau minum berlebihan
00010537-a	ind:def	menderita akibat berlebihan makan atau minum
00011160-a	ind:def	ingin mengkonsumsi makan atau minum lebih dari satu cukup
00011327-a	ind:def	kasar rakus atau serakah
00012071-a	ind:def	menjadi suatu gagasan atau konsep
00012689-a	ind:def	hanya dalam bentuk ide atau citra mental
00013160-a	ind:def	karena dianggap mampu oleh indera
00013442-a	ind:def	milik pengalaman langsung dari hal-hal aktual
00013662-a	ind:def	mampu dibuktikan sebagai fakta
00015097-a	ind:def	diperoleh dengan sedikit usaha atau pengorbanan
00015247-a	ind:def	diproduksi atau tumbuh dalam jumlah ekstrim
00015589-a	ind:def	lebih dari biasanya atau yang diperlukan
00016005-a	ind:def	(Tanaman) yang memiliki pertumbuhan yang subur dan tak terkendali
00016647-a	ind:def	dicirikan oleh daun-daunan yang berlimpah
00017024-a	ind:def	tidak secara luas terdistribusi
00017509-a	ind:def	menunjukkan gejala akibat luka ulang fisik dan emosional
00017688-a	ind:def	tidak dilecehkan secara fisik
00017782-a	ind:def	kinerja yang layak dan memuaskan
00018069-a	ind:def	dapat diterima oleh bank
00018850-a	ind:def	bertanggung jawab untuk perdebatan
00019046-n	ind:def	tanaman dan hewan yang asli
00019505-a	ind:def	yang mampu mencapai atau dicapai
00019613-n	ind:def	masalah fisik yang nyata
00019874-a	ind:def	yang mampu dicapai hanya dengan susah payah atau tidak sama sekali bisa
